Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARMSTRONG, David ",Midfielder,42,11,2,2,0,0,2,0,0
,"ASHCROFT, Billy ",Forward,33+4,6,0,0+2,1,0,2,0,0
,"BAILEY, Ian ",Full Back,18+1,0,0,2,0,0,2,0,0
,"BELL, Charlie ",Midfielder,1,0,0,0,0,0,0,0,0
,"BOAM, Stuart ",Central Defender,40,1,0,2,0,0,2,0,0
,"BURNS, Micky ",Forward,31,14,0,2,0,0,0,0,0
,"CLARKE, Harry ",Midfielder,0,0,0,0,0,0,0,0,0
,"COCHRANE, Terry ",Winger,18+1,3,0,2,0,0,0,0,0
,"CRAGGS, John ",Full Back,41,0,0,2,0,0,2,0,0
,"CUMMINS, Stan ",Forward,11+1,1,0,2,0,0,0,0,0
,"HEDLEY, Graeme ",Midfielder,0+1,0,0,0,0,0,0,0,0
,"HODGSON, David ",Forward,13+6,1,0,0,0,0,0,0,0
,"JANKOVIC, Bozo ",Forward,4+4,1,0,0,0,0,0,0,0
,"JOHNSON, Peter ",Full Back,21,0,0,0,0,0,0,0,0
,"JOHNSTON, Craig ",Midfielder,1+1,0,0,0,0,0,0+2,0,0
,"MAHONEY, John ",Midfielder,40,0,0,2,0,0,2,0,0
,"MCANDREW, Tony ",Central Defender,38,1,0,2,0,0,1,0,0
,"MILLS, David ",Forward,17,6,0,0,0,0,2,0,0
,"PLATT, Jim ",Goalkeeper,15,0,0,0,0,0,0,0,0
,"PROCTOR, Mark ",Midfielder,31+2,9,0,2,0,0,2,0,0
,"RAMAGE, Alan ",Central Defender,14,0,0,0,0,0,2,0,0
,"SHEARER, David ",Forward,2+3,1,0,0,0,0,0,0,0
,"STEWART, Jim ",Goalkeeper,27,0,0,2,0,0,2,0,0
,"WOOF, Billy ",Forward,4+1,1,0,0,0,0,1,0,0
