Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Preston North End,22,15,3,4,71,30,2.367,+41,33,,,,League Champions
2,Everton,22,14,3,5,65,40,1.625,+25,31,7427,,,
3,Blackburn Rovers,22,12,3,7,78,41,1.902,+37,27,7205,,,FA Cup Winners
4,Wolverhampton Wanderers,22,10,5,7,51,38,1.342,+13,25,,,,
5,West Bromwich Albion,22,11,3,8,47,50,0.940,-3,25,,,,
6,Accrington,22,9,6,7,53,56,0.946,-3,24,,,,
7,Derby County,22,9,3,10,43,55,0.782,-12,21,,,,
8,Aston Villa,22,7,5,10,43,51,0.843,-8,19,,,,
9,Bolton Wanderers,22,9,1,12,54,65,0.831,-11,19,,,,
10,Notts County,22,6,5,11,43,51,0.843,-8,17,,,,Re-elected
11,Burnley,22,4,5,13,36,65,0.554,-29,13,,,,Re-elected
12,Stoke City,22,3,4,15,27,69,0.391,-42,10,,,,Failed re-election
