Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,42,30,8,4,85,16,5.3125,+69,68,,,,League Champions and Qualification for the European Cup first round
2,Nottingham Forest,42,21,18,3,61,26,2.34615384615385,+35,60,,,,Qualification for the European Cup first round
3,West Bromwich Albion,42,24,11,7,72,35,2.05714285714286,+37,59,,,,Qualification for the UEFA Cup
4,Everton,42,17,17,8,52,40,1.3,+12,51,,,,Qualification for the UEFA Cup
5,Leeds United,42,18,14,10,70,52,1.34615384615385,+18,50,,,,Qualification for the UEFA Cup
6,Ipswich Town,42,20,9,13,63,49,1.28571428571429,+14,49,,,,Qualification for the UEFA Cup
7,Arsenal,42,17,14,11,61,48,1.27083333333333,+13,48,,,,Qualification for the European Cup Winners` Cup first round
8,Aston Villa,42,15,16,11,59,49,1.20408163265306,+10,46,,,,
9,Manchester United,42,15,15,12,60,63,0.952380952380952,-3,45,,,,
10,Coventry City,42,14,16,12,58,68,0.852941176470588,-10,44,,,,
11,Tottenham Hotspur,42,13,15,14,48,61,0.786885245901639,-13,41,,,,
12,Middlesbrough,42,15,10,17,57,50,1.14,+7,40,,,,
13,Bristol City,42,15,10,17,47,51,0.92156862745098,-4,40,,,,
14,Southampton,42,12,16,14,47,53,0.886792452830189,-6,40,,,,
15,Manchester City,42,13,13,16,58,56,1.03571428571429,+2,39,,,,
16,Norwich City,42,7,23,12,51,57,0.894736842105263,-6,37,,,,
17,Bolton Wanderers,42,12,11,19,54,75,0.72,-21,35,,,,
18,Wolverhampton Wanderers,42,13,8,21,44,68,0.647058823529412,-24,34,,,,
19,Derby County,42,10,11,21,44,71,0.619718309859155,-27,31,,,,
20,Queens Park Rangers,42,6,13,23,45,73,0.616438356164384,-28,25,,,,Relegation to the Second Division
21,Birmingham City,42,6,10,26,37,64,0.578125,-27,22,,,,Relegation to the Second Division
22,Chelsea,42,5,10,27,44,92,0.478260869565217,-48,20,,,,Relegation to the Second Division
