Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Everton,42,29,8,5,72,34,2.118,+38,66,,,,League Champions and qualified for UEFA Champions League
2,Leeds United,42,21,15,6,84,49,1.714,+35,57,,,,
3,Chelsea,42,21,13,8,70,50,1.400,+20,55,,,,FA Cup winners and qualified for UEFA Cup Winners` Cup
4,Derby County,42,22,9,11,64,37,1.730,+27,53,35924,,,
5,Liverpool,42,20,11,11,65,42,1.548,+23,51,,,,Participated in the Inter-Cities Fairs Cup
6,Coventry City,42,19,11,12,58,48,1.208,+10,49,,,,
7,Newcastle United,42,17,13,12,57,35,1.629,+22,47,,,,Participated in the Inter-Cities Fairs Cup
8,Manchester United,42,14,17,11,66,61,1.082,+5,45,,,,
9,Stoke City,42,15,15,12,56,52,1.077,+4,45,,,,
10,Manchester City,42,16,11,15,55,48,1.146,+7,43,,,,UEFA Cup Winners` Cup 
11,Tottenham Hotspur,42,17,9,16,54,55,0.982,-1,43,,,,
12,Arsenal,42,12,18,12,51,49,1.041,+2,42,,,,Winners of the Inter-Cities Fairs Cup
13,Wolverhampton Wanderers,42,12,16,14,55,57,0.965,-2,40,31164,,,
14,Burnley,42,12,15,15,56,61,0.918,-5,39,,,,
15,Nottingham Forest,42,10,18,14,50,71,0.704,-21,38,,,,
16,West Bromwich Albion,42,14,9,19,58,66,0.879,-8,37,28591,,,
17,West Ham United,42,12,12,18,51,60,0.850,-9,36,,,,
18,Ipswich Town,42,10,11,21,40,63,0.635,-23,31,,,,
19,Southampton,42,6,17,19,46,67,0.687,-21,29,,,,Participated in the Inter-Cities Fairs Cup
20,Crystal Palace,42,6,15,21,34,68,0.500,-34,27,,,,
21,Sunderland,42,6,14,22,30,68,0.441,-38,26,,,,Relegated
22,Sheffield Wednesday,42,8,9,25,40,71,0.563,-31,25,,,,Relegated
