Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Manchester United,38,23,6,9,81,48,1.688,+33,52,22315,,,League Champions
2,Aston Villa,38,17,9,12,77,59,1.305,+18,43,19520,,,
3,Manchester City,38,16,11,11,62,54,1.148,+8,43,18715,,,
4,Newcastle United,38,15,12,11,65,54,1.204,+11,42,27875,,,
5,Sheffield Wednesday,38,19,4,15,73,64,1.141,+9,42,13500,,,
6,Middlesbrough,38,17,7,14,54,45,1.200,+9,41,16605,,,
7,Bury,38,14,11,13,58,61,0.951,-3,39,,,,
8,Liverpool,38,16,6,16,68,61,1.115,+7,38,16905,,,
9,Nottingham Forest,38,13,11,14,59,62,0.952,-3,37,12840,,,
10,Bristol City,38,12,12,14,58,61,0.951,-3,36,,,,
11,Everton,38,15,6,17,58,64,0.906,-6,36,17316,,,
12,Preston North End,38,12,12,14,47,53,0.887,-6,36,10870,,,
13,Chelsea,38,14,8,16,53,62,0.855,-9,36,,,,
14,Arsenal,38,12,12,14,51,63,0.810,-12,36,13765,,,
15,Blackburn Rovers,38,12,12,14,51,63,0.810,-12,36,13270,,,
16,Sunderland,38,16,3,19,78,75,1.040,+3,35,17470,,,
17,Sheffield United,38,12,11,15,52,58,0.897,-6,35,12890,,,
18,Notts County,38,13,8,17,39,51,0.765,-12,34,,,,
19,Bolton Wanderers,38,14,5,19,52,58,0.897,-6,33,14515,,,Relegated
20,Birmingham City,38,9,12,17,40,60,0.667,-20,30,15473,,,Relegated
